0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:00:43 -0700] "GET /ProyectoFinalWeb/fonts/icons-linear/Linearicons-Free.woff2?w118d HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2024:00:05:56 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:05:56 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:05:56 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:05:56 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:05:56 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:05:56 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:05:56 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:05:56 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:05:56 -0700] "GET /manager/text/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:06:01 -0700] "GET /ProyectoFinalWeb/menu.jsp HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:07:15 -0700] "GET /ProyectoFinalWeb/menu.jsp HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:07:21 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:07:21 -0700] "GET /ProyectoFinalWeb/cartStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:07:23 -0700] "GET /ProyectoFinalWeb/menu.jsp HTTP/1.1" 200 7141
127.0.0.1 - - [29/Apr/2024:00:09:23 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:09:23 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:09:23 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:09:23 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:09:23 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:09:23 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:09:23 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:09:23 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:09:23 -0700] "GET /manager/text/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:09:25 -0700] "GET /ProyectoFinalWeb/menu.jsp HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:09:25 -0700] "GET /ProyectoFinalWeb/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:09:27 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:09:29 -0700] "GET /ProyectoFinalWeb/menu.jsp HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:11:15 -0700] "GET /ProyectoFinalWeb/menu.jsp HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:11:27 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:11:32 -0700] "GET /ProyectoFinalWeb/menu.jsp HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:11:36 -0700] "GET /ProyectoFinalWeb/index.jsp HTTP/1.1" 200 7847
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:11:36 -0700] "GET /ProyectoFinalWeb/js/bliss.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:11:36 -0700] "GET /ProyectoFinalWeb/images/gordita.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:11:36 -0700] "GET /ProyectoFinalWeb/images/chimichanga.PNG HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2024:00:27:15 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:27:15 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:27:15 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:27:15 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:27:15 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:27:15 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:27:15 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:27:15 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:27:15 -0700] "GET /manager/text/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:27:22 -0700] "GET /ProyectoFinalWeb/iniciarSesion.jsp HTTP/1.1" 200 5807
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:27:22 -0700] "GET /ProyectoFinalWeb/style-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:27:56 -0700] "GET /ProyectoFinalWeb/registro.jsp HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:28:05 -0700] "POST /ProyectoFinalWeb/nuevousuario HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:28:05 -0700] "GET /ProyectoFinalWeb/index.jsp HTTP/1.1" 200 7847
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:28:14 -0700] "GET /ProyectoFinalWeb/iniciarSesion.jsp HTTP/1.1" 200 5807
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:28:26 -0700] "POST /ProyectoFinalWeb/iniciar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:28:26 -0700] "GET /ProyectoFinalWeb/menu.jsp HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:29:11 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 200 9069
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:29:11 -0700] "GET /ProyectoFinalWeb/cartStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2024:00:30:46 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:30:46 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:30:46 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:30:46 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:30:46 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:30:46 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:30:46 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:30:46 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:30:46 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:30:46 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:30:47 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:30:47 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:30:47 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:30:47 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:30:47 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:30:47 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:31:37 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:31:37 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:31:37 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:31:37 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:31:37 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:31:37 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:31:37 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:31:37 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:31:37 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:31:38 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:31:38 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:31:38 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
